관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,북구 두암동 898-15 ,북구 군왕로51번길 40,1,200만,360도,30일,2022,35.167107,126.930289,2025-12-31
광주광역시 사회재난과,북구 두암동 898-15 ,북구 군왕로51번길 40,1,200만,360도,30일,2023,35.167107,126.930289,2025-12-31
광주광역시 사회재난과,북구 두암동 898-15 ,북구 군왕로51번길 40,1,200만,360도,30일,2024,35.167107,126.930289,2025-12-31
광주광역시 사회재난과,북구 두암동 975-5,북구 무진성길32번길 34,1,200만,360도,30일,2022,35.161654,126.939246,2025-12-31
광주광역시 사회재난과,북구 두암동 975-5,북구 무진성길32번길 34,1,200만,360도,30일,2024,35.161654,126.939246,2025-12-31
광주광역시 사회재난과,북구 두암동 985-3,북구 밤실로 162,1,200만,360도,30일,2022,35.162243,126.935377,2025-12-31
광주광역시 사회재난과,북구 두암동 985-3,북구 밤실로 162,1,200만,360도,30일,2024,35.162243,126.935377,2025-12-31
광주광역시 사회재난과,북구 두암동 산60,,1,200만,360도,30일,2024,35.1737,126.935852,2025-12-31
광주광역시 사회재난과,북구 두암동 산60,,1,200만,360도,30일,2022,35.1737,126.935852,2025-12-31
광주광역시 사회재난과,북구 망월동 343-8,북구 석곡로 422,2,200만,360도,30일,2022,35.1975,126.953572,2025-12-31
광주광역시 사회재난과,북구 매곡동 222-5,북구 매곡로86번길 32,1,200만,360도,30일,2018,35.19444,126.892825,2025-12-31
광주광역시 사회재난과,북구 매곡동 222-5,북구 매곡로86번길 32,1,200만,360도,30일,2022,35.19444,126.892825,2025-12-31
광주광역시 사회재난과,북구 매곡동 222-5,북구 매곡로86번길 32,1,200만,360도,30일,2024,35.19444,126.892825,2025-12-31
광주광역시 사회재난과,북구 매곡동 83-3,북구 하서로 110,2,200만,360도,30일,2022,35.19143,126.890835,2025-12-31
광주광역시 사회재난과,북구 문흥동 966-1,북구 대천로157번길 96-1,1,200만,360도,30일,2022,35.190864,126.922892,2025-12-31
광주광역시 사회재난과,북구 문흥동 966-1,북구 대천로157번길 96-1,1,200만,360도,30일,2023,35.190864,126.922892,2025-12-31
광주광역시 사회재난과,북구 문흥동 1000-1,북구 서하로 380,1,200만,360도,30일,2024,35.185683,126.921736,2025-12-31
광주광역시 사회재난과,북구 문흥동 1000-1,북구 서하로 380,3,200만,360도,30일,2021,35.185683,126.921736,2025-12-31
광주광역시 사회재난과,북구 문흥동 1003-6,북구 대천로 121,2,200만,360도,30일,2022,35.185638,126.919917,2025-12-31
광주광역시 사회재난과,북구 문흥동 1007-11,북구 능안로12번길 23,1,200만,360도,30일,2018,35.186277,126.918424,2025-12-31
광주광역시 사회재난과,북구 문흥동 1007-11,북구 능안로12번길 23,1,200만,360도,30일,2022,35.186277,126.918424,2025-12-31
광주광역시 사회재난과,북구 문흥동 1007-11,북구 능안로12번길 23,1,200만,360도,30일,2023,35.186277,126.918424,2025-12-31
광주광역시 사회재난과,북구 문흥동 1007-11,북구 능안로12번길 23,1,200만,360도,30일,2024,35.186277,126.918424,2025-12-31
광주광역시 사회재난과,북구 문흥동 1011-4,북구 천지인로 241,1,200만,360도,30일,2024,35.183048,126.925894,2025-12-31
광주광역시 사회재난과,북구 문흥동 1011-4,북구 천지인로 241,1,200만,360도,30일,2022,35.183048,126.925894,2025-12-31
광주광역시 사회재난과,북구 문흥동 739-1,북구 면앙로44번길 39,1,200만,360도,30일,2020,35.177533,126.916927,2025-12-31
광주광역시 사회재난과,북구 문흥동 739-1,북구 면앙로44번길 39,3,200만,360도,30일,2021,35.177533,126.916927,2025-12-31
광주광역시 사회재난과,북구 문흥동 739-4 ,북구 호동로 63,1,200만,360도,30일,2018,35.177245,126.917963,2025-12-31
광주광역시 사회재난과,북구 문흥동 739-4 ,북구 호동로 63,1,200만,360도,30일,2022,35.177245,126.917963,2025-12-31
광주광역시 사회재난과,북구 문흥동 739-4 ,북구 호동로 63,1,200만,360도,30일,2023,35.177245,126.917963,2025-12-31
광주광역시 사회재난과,북구 문흥동 872-9,북구 문화소통로302번길 17,1,200만,360도,30일,2018,35.181789,126.927015,2025-12-31
광주광역시 사회재난과,북구 문흥동 872-9,북구 문화소통로302번길 17,1,200만,360도,30일,2023,35.181789,126.927015,2025-12-31
광주광역시 사회재난과,북구 문흥동 920-1 앞,,3,200만,360도,30일,2020,35.181001,126.925497,2025-12-31
광주광역시 사회재난과,북구 문흥동 924-2,북구 평교로30번길 6-2,1,200만,360도,30일,2018,35.180019,126.925595,2025-12-31
광주광역시 사회재난과,북구 문흥동 924-2,북구 평교로30번길 6-2,1,200만,360도,30일,2022,35.180019,126.925595,2025-12-31
광주광역시 사회재난과,북구 문흥동 924-2,북구 평교로30번길 6-2,1,200만,360도,30일,2023,35.180019,126.925595,2025-12-31
광주광역시 사회재난과,북구 문흥동 927-7,북구 중문로84번길 67-25,1,200만,360도,30일,2024,35.17955,126.924569,2025-12-31
광주광역시 사회재난과,북구 문흥동 927-7,북구 중문로84번길 67-25,1,200만,360도,30일,2018,35.17955,126.924569,2025-12-31
광주광역시 사회재난과,북구 문흥동 927-7,북구 중문로84번길 67-25,1,200만,360도,30일,2018,35.17955,126.924569,2025-12-31
광주광역시 사회재난과,북구 문흥동 929-8,북구 평교로 17,2,200만,360도,30일,2022,35.179161,126.924788,2025-12-31
광주광역시 사회재난과,북구 문흥동 929-8,북구 평교로 17,2,200만,360도,30일,2024,35.179161,126.924788,2025-12-31
광주광역시 사회재난과,북구 문흥동 934-1,북구 면앙로89번길 58,1,200만,360도,30일,2018,35.1806,126.922893,2025-12-31
광주광역시 사회재난과,북구 문흥동 934-1,북구 면앙로89번길 58,1,200만,360도,30일,2019,35.1806,126.922893,2025-12-31
광주광역시 사회재난과,북구 문흥동 934-1,북구 면앙로89번길 58,1,200만,360도,30일,2023,35.1806,126.922893,2025-12-31
광주광역시 사회재난과,북구 문흥동 963-11,북구 대천로157번길 6,2,200만,360도,30일,2022,35.188465,126.921438,2025-12-31
광주광역시 사회재난과,북구 문흥동 963-11,북구 대천로157번길 6,2,200만,360도,30일,2024,35.188465,126.921438,2025-12-31
광주광역시 사회재난과,북구 문흥동 965-14,북구 대천로157번길 56,2,200만,360도,30일,2022,35.189742,126.92125,2025-12-31
광주광역시 사회재난과,북구 문흥동 965-14,북구 대천로157번길 56,1,200만,360도,30일,2024,35.189742,126.92125,2025-12-31
광주광역시 사회재난과,북구 문흥동 979-1,북구 부남길15번길 46,2,200만,360도,30일,2021,35.189307,126.926738,2025-12-31
광주광역시 사회재난과,북구 문흥동 979-1,북구 부남길15번길 46,1,200만,360도,30일,2024,35.189307,126.926738,2025-12-31
광주광역시 사회재난과,북구 문흥동 984-1,북구 부남길 30,2,200만,360도,30일,2022,35.188648,126.927181,2025-12-31
광주광역시 사회재난과,북구 문흥동 984-1,북구 부남길 30,2,200만,360도,30일,2022,35.188648,126.927181,2025-12-31
